Country or Area,Subgroup,Year,Source,Unit,Proportion of 1 year-old children immunised against DPT1,Proportion of 1 year-old children immunised against DPT1 Footnotes
Afghanistan,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,86.0,1.0
Albania,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
Algeria,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
Andorra,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
Angola,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
Antigua and Barbuda,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
Argentina,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,98.0,1.0
Armenia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,98.0,1.0
Australia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,92.0,1.0
Austria,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,93.0,1.0
Azerbaijan,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,79.0,1.0
Bahamas,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
Bahrain,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
Bangladesh,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
Barbados,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,93.0,1.0
Belarus,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
Belgium,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
Belize,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,98.0,1.0
Benin,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,94.0,1.0
Bhutan,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,98.0,1.0
Bolivia (Plurinational State of),Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,90.0,1.0
Bosnia and Herzegovina,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,94.0,1.0
Botswana,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,98.0,1.0
Brazil,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
Brunei Darussalam,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
Bulgaria,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,96.0,1.0
Burkina Faso,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,93.0,1.0
Burundi,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
Cambodia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,96.0,1.0
Cameroon,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,90.0,1.0
Canada,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,98.0,1.0
Cape Verde,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
CEE/CIS,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,95.0,2.0
Central African Republic,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,64.0,1.0
Chad,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,45.0,1.0
Chile,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,98.0,1.0
China,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
Colombia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,95.0,1.0
Comoros,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,94.0,1.0
Congo,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,90.0,1.0
Cook Islands,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,98.0,1.0
Costa Rica,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,87.0,1.0
C̫te d'Ivoire,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,75.0,1.0
Croatia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,97.0,1.0
Cuba,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,96.0,1.0
Cyprus,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
Czech Republic,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
Democratic People's Republic of Korea,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,95.0,1.0
Democratic Republic of the Congo,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,79.0,1.0
Denmark,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,94.0,1.0
Djibouti,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,89.0,1.0
Dominica,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
Dominican Republic,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,91.0,1.0
East Asia and Pacific,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,95.0,2.0
Eastern and Southern Africa,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,85.0,2.0
Ecuador,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
Egypt,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,97.0,1.0
El Salvador,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,90.0,1.0
Equatorial Guinea,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,65.0,1.0
Eritrea,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
Estonia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,96.0,1.0
Ethiopia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,61.0,1.0
Fiji,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
Finland,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
France,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
Gabon,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,69.0,1.0
Gambia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
Georgia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,95.0,1.0
Germany,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
Ghana,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,94.0,1.0
Greece,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
Grenada,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,98.0,1.0
Guatemala,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,91.0,1.0
Guinea,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,86.0,1.0
Guinea-Bissau,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,92.0,1.0
Guyana,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,97.0,1.0
Haiti,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,83.0,1.0
Honduras,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
Hungary,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
Iceland,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,98.0,1.0
India,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,83.0,1.0
Indonesia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,86.0,1.0
Iran (Islamic Republic of),Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
Iraq,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,90.0,1.0
Ireland,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,98.0,1.0
Israel,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,96.0,1.0
Italy,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,98.0,1.0
Jamaica,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
Japan,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
Jordan,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,98.0,1.0
Kazakhstan,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
Kenya,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,95.0,1.0
Kiribati,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
Kuwait,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
Kyrgyzstan,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,97.0,1.0
Lao People's Democratic Republic,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,83.0,1.0
Latin America and Caribbean,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,96.0,2.0
Latvia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,97.0,1.0
Least Developed Countries/Territories,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,87.0,2.0
Lebanon,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,84.0,1.0
Lesotho,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,93.0,1.0
Liberia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,61.0,1.0
Libya,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,98.0,1.0
Lithuania,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,95.0,1.0
Luxembourg,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
Madagascar,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,96.0,1.0
Malawi,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,98.0,1.0
Malaysia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
Maldives,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,97.0,1.0
Mali,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,85.0,1.0
Malta,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
Marshall Islands,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
Mauritania,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,91.0,1.0
Mauritius,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
Mexico,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
Micronesia (Federated States of),Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,96.0,1.0
Middle East and North Africa,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,96.0,2.0
Monaco,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
Mongolia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
Montenegro,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,98.0,1.0
Morocco,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
Mozambique,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,90.0,1.0
Myanmar,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
Namibia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,88.0,1.0
Nauru,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
Nepal,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,96.0,1.0
Netherlands,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
New Zealand,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,95.0,1.0
Nicaragua,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
Niger,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,80.0,1.0
Nigeria,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,53.0,1.0
Niue,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
Norway,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
Oman,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
Pakistan,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,88.0,1.0
Palau,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
Panama,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,95.0,1.0
Papua New Guinea,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,83.0,1.0
Paraguay,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,97.0,1.0
Peru,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,94.0,1.0
Philippines,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,85.0,1.0
Poland,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
Portugal,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
Qatar,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,94.0,1.0
Republic of Korea,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
Republic of Moldova,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,96.0,1.0
Romania,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,96.0,1.0
Russian Federation,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,97.0,1.0
Rwanda,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,98.0,1.0
Saint Kitts and Nevis,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
Saint Lucia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,98.0,1.0
Saint Vincent and the Grenadines,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,98.0,1.0
Samoa,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
San Marino,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,90.0,1.0
Sao Tome and Principe,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,98.0,1.0
Saudi Arabia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
Senegal,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,94.0,1.0
Serbia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,91.0,1.0
Seychelles,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
Sierra Leone,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,94.0,1.0
Singapore,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,98.0,1.0
Slovakia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
Slovenia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,98.0,1.0
Solomon Islands,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,94.0,1.0
Somalia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,52.0,1.0
South Africa,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,77.0,1.0
South Asia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,85.0,2.0
South Sudan,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,58.0,3.0
Spain,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
Sri Lanka,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
State of Palestine,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
Sub-Saharan Africa,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,79.0,2.0
Sudan,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,98.0,3.0
Suriname,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,90.0,1.0
Swaziland,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,98.0,1.0
Sweden,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
Switzerland,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,95.0,1.0
Syrian Arab Republic,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,86.0,1.0
Tajikistan,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,98.0,1.0
Thailand,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
The former Yugoslav Republic of Macedonia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,95.0,1.0
Timor-Leste,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,69.0,1.0
Togo,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,95.0,1.0
Tonga,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
Trinidad and Tobago,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,96.0,1.0
Tunisia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,98.0,1.0
Turkey,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,98.0,1.0
Turkmenistan,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,98.0,1.0
Tuvalu,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
Uganda,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,91.0,1.0
Ukraine,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,73.0,1.0
United Arab Emirates,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,94.0,1.0
United Kingdom,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,98.0,1.0
United Republic of Tanzania,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,96.0,1.0
United States,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,98.0,1.0
Uruguay,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
Uzbekistan,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
Vanuatu,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,78.0,1.0
Venezuela (Bolivarian Republic of),Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,90.0,1.0
Viet Nam,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,97.0,1.0
Western and Central Africa,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,71.0,2.0
World,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,89.0,2.0
Yemen,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,89.0,1.0
Zambia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,87.0,1.0
Zimbabwe,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,1.0
fnSeqID,Footnote,,,,,
1,Coverage for DPT1 should be at least as high as DPT3. Discrepancies where DPT1 coverage is less than DPT3 reflect deficiencies in the data collection and reporting process. UNICEF and WHO are working with national and territorial systems to eliminate these discrepancies.,,,,,
2,"Coverage for DPT1 should be at least as high as DPT3. Discrepancies where DPT1 coverage is less than DPT3 reflect deficiencies in the data collection and reporting process. UNICEF and WHO are working with national and territorial systems to eliminate these discrepancies. For a complete list of countries and territories in the regions, subregions and country categories, see page XX.",,,,,
3,"Coverage for DPT1 should be at least as high as DPT3. Discrepancies where DPT1 coverage is less than DPT3 reflect deficiencies in the data collection and reporting process. UNICEF and WHO are working with national and territorial systems to eliminate these discrepancies. Due to the cession in July 2011 of the Republic of South Sudan by the Republic of the Sudan, and its subsequent admission to the UN on 14 July 2011, disaggregated data for Sudan and South Sudan as separate States are not yet available for all indicators. In these cases, aggregated data are presented for Sudan pre-cession (see Memorandum item).",,,,,
