Country or Area,Proportion of under-five children with suspected pneumonia taken to health provider
Afghanistan,61.0
Albania,70.0
Algeria,53.0
Armenia,57.0
Azerbaijan,36.0
Bangladesh,35.0
Belarus,90.0
Belize,71.0
Benin,31.0
Bhutan,74.0
Bolivia (Plurinational State of),51.0
Bosnia and Herzegovina,91.0
Botswana,14.0
Brazil,50.0
Burkina Faso,56.0
Burundi,55.0
Cambodia,64.0
Cameroon,30.0
Central African Republic,30.0
Chad,26.0
Colombia,64.0
Comoros,56.0
Congo,52.0
C̫te d'Ivoire,38.0
Cuba,97.0
Democratic People's Republic of Korea,80.0
Democratic Republic of the Congo,40.0
Djibouti,62.0
Dominican Republic,70.0
East Asia and Pacific,64.0
Eastern and Southern Africa,55.0
Egypt,73.0
El Salvador,67.0
Eritrea,44.0
Ethiopia,27.0
Gabon,48.0
Gambia,69.0
Georgia,74.0
Ghana,41.0
Guatemala,64.0
Guinea,42.0
Guinea-Bissau,52.0
Guyana,65.0
Haiti,31.0
Honduras,56.0
India,69.0
Indonesia,66.0
Iran (Islamic Republic of),93.0
Iraq,82.0
Jamaica,75.0
Jordan,75.0
Kazakhstan,71.0
Kenya,56.0
Kiribati,81.0
Kyrgyzstan,62.0
Lao People's Democratic Republic,32.0
Least Developed Countries/Territories,50.0
Lebanon,74.0
Lesotho,66.0
Liberia,62.0
Madagascar,42.0
Malawi,70.0
Maldives,22.0
Mali,38.0
Mauritania,45.0
Mongolia,87.0
Montenegro,89.0
Morocco,70.0
Mozambique,65.0
Myanmar,69.0
Namibia,53.0
Nauru,69.0
Nepal,50.0
Nicaragua,58.0
Niger,51.0
Nigeria,45.0
Pakistan,69.0
Papua New Guinea,63.0
Peru,68.0
Philippines,50.0
Republic of Moldova,60.0
Rwanda,50.0
Sao Tome and Principe,75.0
Senegal,50.0
Serbia,90.0
Sierra Leone,74.0
Solomon Islands,73.0
Somalia,13.0
South Africa,65.0
South Asia,65.0
South Sudan,48.0
Sri Lanka,58.0
State of Palestine,65.0
Sub-Saharan Africa,49.0
Sudan,56.0
Suriname,74.0
Swaziland,58.0
Syrian Arab Republic,77.0
Tajikistan,64.0
Thailand,84.0
The former Yugoslav Republic of Macedonia,93.0
Timor-Leste,71.0
Togo,32.0
Trinidad and Tobago,74.0
Tunisia,59.0
Turkey,41.0
Turkmenistan,83.0
Uganda,79.0
United Republic of Tanzania,71.0
Uzbekistan,68.0
Venezuela (Bolivarian Republic of),72.0
Viet Nam,73.0
Western and Central Africa,44.0
World,60.0
Yemen,44.0
Zambia,68.0
Zimbabwe,48.0
